䂤	坿	MJ002950
䂥	珉	MJ002951
䂩	硯	MJ002955
䂪	銚	MJ002956
䂬	栱	MJ002958
䂳	剉	MJ002966
䂴	研	MJ002967
䂺	顆	MJ002971
䂻	鋥	MJ002972
䃉	珉	MJ002981
䃍	墜	MJ002985
䃍	墜	MJ002986
䃑	磐	MJ002989
䃖	塢	MJ002994
䃚	鏃	MJ002998
䃛	鏈	MJ002999
䃢	嶔	MJ003005
䃣	毀	MJ003006
䃪	壇	MJ003012
䃬	磈	MJ003014
䃭	撼	MJ003015
䃯	礫	MJ003018
䃲	磐	MJ003021
䃺	磨	MJ003029
䃻	壩	MJ003030
䃽	祓	MJ003031
䃽	祓	MJ003032
䄀	禍	MJ003036
䄂	袖	MJ003038
䄂	袖	MJ003039
䄃	殃	MJ003040
䄃	殃	MJ003041
䄇	程	MJ003050
䄉	娥	MJ003052
䄍	蜡	MJ003056
䄍	蜡	MJ003057
䄏	祅	MJ003059
䄏	祅	MJ003060
䄒	稔	MJ003063
䄒	稔	MJ003064
䄕	社	MJ003068
䄜	魑	MJ003074
䄠	禅	MJ003077
䄠	禅	MJ003078
䄢	齊	MJ003080
䄬	移	MJ003090
䄭	年	MJ003091
䄮	稃	MJ003092
䄰	芽	MJ003095
䄷	石	MJ003100
䄺	稚	MJ003102
䅇	粟	MJ003115
䅒	芒	MJ003128
䅔	菑	MJ003130
䅖	馣	MJ003132
䅠	稊	MJ003141
䅧	蔭	MJ003149
䅨	香	MJ003150
䅩	歧	MJ003151
䅶	耨	MJ003162
䅷	藷	MJ003163
䅸	莘	MJ003164
䅹	耬	MJ003165
䅺	秒	MJ003166
䅻	離	MJ003167
䅽	馨	MJ003169
䆀	黴	MJ003173
䆈	稚	MJ003182
䆏	糞	MJ003187
䆐	國	MJ003188
䆒	究	MJ003190
䆒	究	MJ003191
䆖	宏	MJ003195
䆗	窈	MJ003197
䆘	拶	MJ003198
䆙	窯	MJ003199
䆚	洞	MJ003200
䆟	凹	MJ003205
䆠	宦	MJ003206
䆣	宸	MJ003209
䆤	穿	MJ003210
䆥	賓	MJ003211
䆦	深	MJ003212
䆧	窩	MJ003213
䆨	冥	MJ003214
䆩	冥	MJ003215
䆫	窓	MJ003217
䆬	霣	MJ003218
䆺	潘	MJ003233
䆻	竅	MJ003234
䆼	窠	MJ003235
